Categoria,English,Portuguese,Spanish,French,German,Italian
Greetings,Hello,Olá,Hola,Bonjour,Hallo,Ciao
Greetings,Good morning,Bom dia,Buenos días,Bonjour,Guten Morgen,Buongiorno
Greetings,Good afternoon,Boa tarde,Buenas tardes,Bon après-midi,Guten Tag,Buon pomeriggio
Greetings,Good evening,Boa noite,Buenas noches,Bonsoir,Guten Abend,Buonasera
Greetings,How are you?,Como vai?,¿Cómo está?,Comment ça va ?,Wie geht’s?,Come stai?
Greetings,Nice to meet you,Muito prazer,Mucho gusto,Enchanté,Freut mich,Piacere
Greetings,See you later,Até logo,Hasta luego,À plus tard,Bis später,A dopo
Greetings,Bye,Tchau,Adiós,Au revoir,Tschüss,Ciao
Greetings,Welcome,Bem-vindo(a),Bienvenido(a),Bienvenue,Willkommen,Benvenuto(a)
Greetings,Cheers!,Saúde!,¡Salud!,Santé!,Prost!,Salute!
Essentials of Travel,Thank you,Obrigado(a),Gracias,Merci,Danke,Grazie
Essentials of Travel,Please,Por favor,Por favor,S’il vous plaît,Bitte,Per favore
Essentials of Travel,Sorry,Desculpe,Perdón,Désolé,Entschuldigung,Mi dispiace
Essentials of Travel,Where is the bathroom?,Onde fica o banheiro?,¿Dónde está el baño?,Où sont les toilettes ?,Wo ist die Toilette?,Dove si trova il bagno?
Essentials of Travel,How much is it?,Quanto custa?,¿Cuánto cuesta?,Combien ça coûte ?,Wie viel kostet das?,Quanto costa?
Essentials of Travel,Yes,Sim,Sí,Oui,Ja,Sì
Essentials of Travel,No,Não,No,Non,Nein,No
Essentials of Travel,I understand,Entendo,Entiendo,Je comprends,Ich verstehe,Capisco
Essentials of Travel,I don’t understand,Não entendo,No entiendo,Je ne comprends pas,Ich verstehe nicht,Non capisco
Essentials of Travel,Do you speak English?,Fala inglês?,¿Habla inglés?,Parlez-vous anglais ?,Sprechen Sie Englisch?,Parla inglese?
Food and Drink,Water,Água,Agua,Eau,Wasser,Acqua
Food and Drink,Coffee,Café,Café,Café,Kaffee,Caffè
Food and Drink,Wine,Vinho,Vino,Vin,Wein,Vino
Food and Drink,Beer,Cerveja,Cerveza,Bière,Bier,Birra
Food and Drink,Juice,Suco,Jugo,Jus,Saft,Succo
Food and Drink,I am vegetarian,Eu sou vegetariano(a),Soy vegetariano(a),Je suis végétarien(ne),Ich bin Vegetarier(in),Sono vegetariano(a)
Food and Drink,Can you bring me the menu?,Pode me trazer o cardápio?,¿Me puede traer el menú?,Pouvez-vous m’apporter le menu ?,Können Sie mir die Speisekarte bringen?,Può portarmi il menù?
Food and Drink,Without sugar,Sem açúcar,Sin azúcar,Sans sucre,Ohne Zucker,Senza zucchero
Food and Drink,"The bill, please","A conta, por favor","La cuenta, por favor","L’addition, s’il vous plaît","Die Rechnung, bitte","Il conto, per favore"
Food and Drink,Very tasty,Muito saboroso,Muy sabroso,Très bon,Sehr lecker,Molto buono
Shopping,Do you accept cards?,Aceita cartão?,¿Acepta tarjetas?,Acceptez vous les cartes ?,Akzeptieren Sie Karten?,Accetta carte?
Shopping,Cash,Dinheiro,Efectivo,Espèces,Bargeld,Contanti
Shopping,Can I try it on?,Posso experimentar?,¿Puedo probármelo?,Puis-je l’essayer ?,Kann ich es anprobieren?,Posso provarlo?
Shopping,Is there a discount?,Tem desconto?,¿Hay descuento?,Y a-t-il une réduction ?,Gibt es einen Rabatt?,C’è uno sconto?
Shopping,Too expensive,Muito caro,Muy caro,Trop cher,Zu teuer,Troppo caro
Shopping,Cheap,Barato,Barato,Pas cher,Billig,Economico
Shopping,Open,Aberto,Abierto,Ouvert,Geöffnet,Aperto
Shopping,Closed,Fechado,Cerrado,Fermé,Geschlossen,Chiuso
Shopping,I am just a tourist,Sou apenas turista,Soy solo turista,Je suis juste un touriste,Ich bin nur ein Tourist,Sono solo un turista
Shopping,Where can I buy?,Onde posso comprar?,¿Dónde puedo comprar?,Où puis-je acheter ?,Wo kann ich kaufen?,Dove posso comprare?
Directions,Left,Esquerda,Izquierda,Gauche,Links,Sinistra
Directions,Right,Direita,Derecha,Droite,Rechts,Destra
Directions,Straight ahead,Em frente,Todo recto,Tout droit,Geradeaus,Dritto
Directions,Back,Atrás,Atrás,Derrière,Zurück,Indietro
Directions,Near,Perto,Cerca,Près,In der Nähe,Vicino
Directions,Far,Longe,Lejos,Loin,Weit,Lontano
Directions,In the center,No centro,En el centro,Au centre,Im Zentrum,Al centro
Directions,In the north,No norte,En el norte,Au nord,Im Norden,A nord
Directions,In the south,No sul,En el sur,Au sud,Im Süden,A sud
Directions,At the intersection,No cruzamento,En el cruce,À l’intersection,An der Kreuzung,All’incrocio
Transport,Where is the station?,Onde fica a estação?,¿Dónde está la estación?,Où est la gare ?,Wo ist der Bahnhof?,Dove si trova la stazione?
Transport,I need a taxi,Preciso de um táxi,Necesito un taxi,J’ai besoin d’un taxi,Ich brauche ein Taxi,Ho bisogno di un taxi
Transport,How much is the ticket?,Quanto custa a passagem?,¿Cuánto cuesta el billete?,Combien coûte le billet ?,Wie viel kostet das Ticket?,Quanto costa il biglietto?
Transport,What is the next stop?,Qual é a próxima parada?,¿Cuál es la próxima parada?,Quel est le prochain arrêt ?,Was ist der nächste Halt?,Qual è la prossima fermata?
Transport,Is it far from here?,Está longe daqui?,¿Está lejos de aquí?,Est-ce loin d’ici ?,Ist es weit von hier?,È lontano da qui?
Transport,Bus,Ônibus,Autobús,Bus,Bus,Autobus
Transport,Train,Trem,Tren,Train,Zug,Treno
Transport,Airplane,Avião,Avión,Avion,Flugzeug,Aereo
Transport,Boat,Barco,Barco,Bateau,Boot,Barca
Transport,I am going to the airport,Vou para o aeroporto,Voy al aeropuerto,Je vais à l’aéroport,Ich fahre zum Flughafen,Vado all’aeroporto
Hotel and Hosting,I have a reservation,Tenho uma reserva,Tengo una reserva,J’ai une réservation,Ich habe eine Reservierung,Ho una prenotazione
Hotel and Hosting,I want to check in,Quero fazer check-in,Quiero registrarme,Je veux m’enregistrer,Ich möchte einchecken,Vorrei fare il check-in
Hotel and Hosting,I want to check out,Quero fazer check-out,Quiero dejar la habitación,Je veux quitter la chambre,Ich möchte auschecken,Vorrei fare il check-out
Hotel and Hosting,What is my room number?,Qual é o número do meu quarto?,¿Cuál es mi número de habitación?,Quel est mon numéro de chambre ?,Wie ist meine Zimmernummer?,Qual è il numero della mia stanza?
