Categoria,English,Portuguese,Spanish,French,German,Italian
artigos,it,a,ello,ce,es,essa
artigos,it,a,ello,ce,es,essa
artigos,them,os,el,la,das,gli
artigos,the,a,el,la,das,gli
artigos,1,1,uno,10,eins,1
artigos,an,um,un,un,ein,un
artigos,some people,alguns,alguien,d’aucuns,irgendwer,qualcuno
artigos,a,um,un,un,eine,un
pronomes,I,eu,yo,je,ich,io
pronomes,you,tu,tú,tu,Sie,Lei
pronomes,it,a,ello,ce,es,essa
pronomes,it,a,ello,ce,es,essa
pronomes,we,nós,nosotras,nous,wir,noi
pronomes,you,vocês,ustedes,vous,ihr,Loro
pronomes,they,elas,ellas,elles,sie,essi
pronomes,they,elas,ellas,elles,sie,essi
pronomes,my,meu,mi,ma,mein,i miei
pronomes,my,meu,mi,mon,mein,mio
pronomes,my,meus,mis,mes,meine,mie
pronomes,my,meus,mis,mes,meine,mie
pronomes,you,seu,su,bande de,du,sua
pronomes,her,seu,su,son,ihr,suo
pronomes,their,seu,su,leur,ihr,i loro
pronomes,our,nossa,nuestra,nos,unser,i nostri
pronomes,our,nossa,nuestra,nos,unser,i nostri
pronomes,our,nossa,nuestra,nos,unser,i nostri
pronomes,our,nossa,nuestra,nos,unser,i nostri
pronomes,that,aquela,aquel,cela,diese,quella
pronomes,that,aquela,aquel,cela,diese,quella
pronomes,it,isso,eso,ce,das,essa
pronomes,that,aquela,aquel,cela,diese,quella
pronomes,that,aquela,aquel,cela,diese,quella
pronomes,that,aquilo,aquel,ce,jenes,quella
pronomes,someone,alguém,alguno,quelqu’un,irgend jemand,qualcuno
pronomes,no one,ninguém,nadie,personne,niemand,nessuna
pronomes,other,outro,otra,autre,andere,altro
pronomes,other,outra,existente,infection ajoutée,Superinfektion,superinfezione
pronomes,sure,certo,seguro,sûr,sicher,certa
pronomes,much,muita,mucho,beaucoup de,viel,molto
pronomes,any,algum,alguna,quelconque,beliebiger,qualsiasi
pronomes,such,tal,así,ainsi,derartig,cosi
pronomes,everything,tudo,todo,tout,alles,tutto
pronomes,nothing,nada,nada,rien,nichts,niente
pronomes,something,algo,algo,quelque chose,etwas,qualcosa
pronomes,every,cada,cada,chaque,jedes,ogni
