Categoria,Posicao,Cod_dekoreba,English,Portuguese,Spanish,French,German,Italian
artigos,1,1,it,a,ello,ce,es,essa
artigos,2,1,him,ela,eso,il,ihm,esso
artigos,3,1,the,ele,la,le l’,ihn,la
artigos,1,2,it,a,ello,ce,es,essa
artigos,2,2,at,ela,eso,il,an,esso
artigos,3,2,to,ele,la,en,auf,la
artigos,1,3,them,os,el,la,das,gli
artigos,2,3,the,a,la,le,dem,i
artigos,3,3,-,as,las,les,den,il
artigos,1,4,the,a,el,la,das,gli
artigos,2,4,them,as,la,le,dem,i
artigos,3,4,-,o,las,les,den,il
artigos,1,5,1,1,uno,10,eins,1
artigos,2,5,one,um,un,un,ein,uno
artigos,3,5,an,uma,una,une,eine,un
artigos,1,6,an,um,un,un,ein,un
artigos,2,6,one,uma,una,une,eine,una
artigos,3,6,a,umas,uno,osmotique,eins,uno
artigos,1,7,some people,alguns,alguien,d’aucuns,irgendwer,qualcuno
artigos,2,7,somebody,uns,alguno,certains,mancher dieser und jener,un
artigos,1,8,a,um,un,un,eine,un
pronomes,1,9,I,eu,yo,je,ich,io
pronomes,1,10,you,tu,tú,tu,Sie,Lei
pronomes,2,10,thou,você,usted,vous,du,tu
pronomes,3,10,SG,a senhora,vos,toi,Du,voi
pronomes,1,11,it,a,ello,ce,es,essa
pronomes,2,11,he,ela,eso,il,er,esso
pronomes,3,11,him,ele,la,le l’,ihm,la
pronomes,1,12,it,a,ello,ce,es,essa
pronomes,2,12,she,ela,eso,il,sie,esso
pronomes,3,12,her,ele,la,elle,er,la
pronomes,1,13,we,nós,nosotras,nous,wir,noi
pronomes,2,13,us,a gente,nosotros,on,uns,noialtri
pronomes,3,13,-,nossa,nos,-,-,noi altri
pronomes,1,14,you,vocês,ustedes,vous,ihr,Loro
pronomes,2,14,y’all,vós,vosotras,tu,Sie,voi
pronomes,3,14,ye,as senhoras,vosotros,-,Du,voi tutti
pronomes,1,15,they,elas,ellas,elles,sie,essi
pronomes,2,15,them,eles,ellos,ils,ihnen,loro
pronomes,3,15,-,lhes,-,eux,Sie,esse
pronomes,1,16,they,elas,ellas,elles,sie,essi
pronomes,2,16,them,eles,ellos,ils,Damentoilette,loro
pronomes,3,16,lady,damas,baño de damas,eux,Sie,esse
